,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon
151,2542,Miller's Creek Path,Miller's-Creek-Path,no,LTS 1,SUP,516.904892237441,,,,
152,2597,Moakley Park Path,Moakley-Park-Path,no,LTS 1,SUP,1191.0763690385302,,,,
153,202,Monsignor Reynolds Way,Monsignor-Reynolds-Way,no,LTS 4,SLM,84.2969592287128,way,426470703,42.3403161,-71.0692782
154,2729,Morrissey Boulevard Bike/Ped Bridge,Morrissey-Boulevard-Bike/Ped-Bridge,no,LTS 1,SUP,308.131702681893,,,,
155,433,Morton Street,Morton-Street,yes,LTS 4,BFBL,912.94495340732,node,404724816,42.2806486,-71.0857381
156,2578,Moss Bank Path,Moss-Bank-Path,no,LTS 1,SUP,302.589199767473,,,,
157,113,Mountfort Street,Mountfort-Street,no,LTS 2,SLM,100.807271311845,way,485279628,42.348007,-71.103764
158,1222,Mount Vernon Street,Mount-Vernon-Street,yes,LTS 1,SBL,491.804076719798,way,541860544,42.3208772,-71.0509891
159,160,Mozart Street,Mozart-Street,no,LTS 2,TC,97.7573523818948,way,8650777,42.320834,-71.104624
160,1088,Museum Road,Museum-Road,no,LTS 3,SLM,275.249884827716,way,8651231,42.3385602,-71.0957012
161,2554,Nashua Street Park Path,Nashua-Street-Park-Path,no,LTS 1,SUP,384.488295027361,,,,
162,284,Neponset Avenue,Neponset-Avenue,no,LTS 3,CL,99.3502899903273,way,60239171,42.2854179,-71.0416265
163,2640,Neponset River Greenway,Neponset-River-Greenway,no,LTS 1,SUP,75.8008140146807,way,76611331,42.2791948,-71.05009
164,2516,Neponset River Trail,Neponset-River-Trail,no,LTS 1,SUP,387.974902082472,way,132181996,42.2343189,-71.1226938
165,2363,New England Avenue,New-England-Avenue,no,LTS 2,NW,101.43384142712,way,8652145,42.290726,-71.077999
166,399,New Washington Street,New-Washington-Street,yes,LTS 1,SBL,165.40671648449,way,8646856,42.2725848,-71.0695058
167,1998,Norfolk Street,Norfolk-Street,no,LTS 3,BL,85.4626169409079,way,591278122,42.281649,-71.086975
168,2748,North Bank Shared-Use Bridge,North-Bank-Shared-Use-Bridge,no,LTS 1,SUP,431.11376075764997,,,,
169,568,North Beverly Street,North-Beverly-Street,no,LTS 2,NW-U,90.65989740041461,,,,
170,298,Northern Avenue,Northern-Avenue,no,LTS 4,SLM,80.8151489449757,way,290083775,42.3480331,-71.0369182
171,1009,North Harvard Street,North-Harvard-Street,no,LTS 3,CL,108.68815027187901,way,86295762,42.3684495,-71.1236104
172,277,North Washington Street,North-Washington-Street,no,LTS 4,SLM,48.3278681915943,way,426659112,42.3700328,-71.06081
173,286,Old Colony Avenue,Old-Colony-Avenue,yes,LTS 3,BFBL,22.907889058435803,way,296968945,42.333812,-71.0545479
174,2023,Old Road,Old-Road,no,LTS 3,BL,87.90147822878879,way,285001939,42.3026032,-71.0847756
175,1420,Old Trail Road,Old-Trail-Road,no,LTS 1,SUP,44.1540568650033,way,8647113,42.308671,-71.091258
176,880,Oliver Street,Oliver-Street,no,LTS 4,SLM,123.128062404795,way,8651566,42.3560441,-71.0532149
177,1817,Otis Street,Otis-Street,no,LTS 2,SLM,169.58787886803,way,289631068,42.3547363,-71.0579809
